Qualidade dos Dados:;Aprovado  ;Suspeito  ;Reprovado  ;Fora do Limite  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
;Régua Seca  ;Régua Coberta  ;Rio Seco  ;Rio Cortado  ;;;;;;;;;;;;;;;;;;;
Temperatura Interna / Status da Bateria:;;  Normal  ;  Atenção  ;  Crítico  ;Não Verificado  ;;;;;;;;;;;;;;;;;;
Estação: 5 - 86720000 - ENCANTADO;;;;;;;;;;;;;;;;;;;;;;;
Data/Hora;Chuva Horária (mm);Nível adotado (cm);Vazão (m³/s);Bateria (V);Temp. Interna (ºC);;;;;;;;;;;;;;;;;;
19/06/2024 23:45;0.00;;;12.70;18.40;;;;;;;;;;;;;;;;;;
19/06/2024 23:30;0.00;;;12.70;18.40;;;;;;;;;;;;;;;;;;
19/06/2024 23:15;0.00;;;12.70;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 23:00;0.00;;;12.70;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 22:45;0.00;;;12.70;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 22:30;0.00;;;12.70;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 22:15;0.00;;;12.90;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 22:00;0.00;;;12.90;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 21:45;0.00;;;12.90;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 21:30;0.00;;;12.90;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 21:15;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 21:00;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 20:45;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 20:30;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 20:15;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 20:00;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 19:45;0.20;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 19:30;0.00;;;12.90;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 19:15;0.00;;;13.00;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 19:00;0.20;;;13.00;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 18:45;0.00;;;13.00;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 18:30;0.00;;;13.00;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 18:15;0.20;;;13.10;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 18:00;0.00;;;13.10;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 17:45;1.20;;;13.10;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 17:30;3.40;;;13.10;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 17:15;0.00;;;13.70;19.40;;;;;;;;;;;;;;;;;;
19/06/2024 17:00;0.00;818.00;3543.79;13.70;19.40;;;;;;;;;;;;;;;;;;
19/06/2024 16:45;0.00;;;13.70;19.40;;;;;;;;;;;;;;;;;;
19/06/2024 16:30;0.00;;;13.70;19.40;;;;;;;;;;;;;;;;;;
19/06/2024 16:15;0.00;;;14.00;19.20;;;;;;;;;;;;;;;;;;
19/06/2024 16:00;0.00;832.00;3635.82;14.00;19.20;;;;;;;;;;;;;;;;;;
19/06/2024 15:45;0.00;;;14.00;19.20;;;;;;;;;;;;;;;;;;
19/06/2024 15:30;0.00;;;14.00;19.20;;;;;;;;;;;;;;;;;;
19/06/2024 15:15;0.00;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 15:00;0.40;838.00;3675.57;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 14:45;0.00;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 14:30;0.00;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 14:15;0.00;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 14:00;0.20;852.00;3769.07;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 13:45;0.60;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 13:30;0.00;;;13.80;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 13:15;0.40;;;13.40;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 13:00;0.00;;;13.40;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 12:45;1.00;;;13.40;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 12:30;0.20;;;13.40;19.00;;;;;;;;;;;;;;;;;;
19/06/2024 12:15;0.20;;;13.90;19.70;;;;;;;;;;;;;;;;;;
19/06/2024 12:00;0.00;;;13.90;19.70;;;;;;;;;;;;;;;;;;
19/06/2024 11:45;0.00;;;13.90;19.70;;;;;;;;;;;;;;;;;;
19/06/2024 11:30;0.00;;;13.90;19.70;;;;;;;;;;;;;;;;;;
19/06/2024 11:15;0.40;;;14.10;19.50;;;;;;;;;;;;;;;;;;
19/06/2024 11:00;0.00;;;14.10;19.50;;;;;;;;;;;;;;;;;;
19/06/2024 10:45;0.00;;;14.10;19.50;;;;;;;;;;;;;;;;;;
19/06/2024 10:30;0.00;;;14.10;19.50;;;;;;;;;;;;;;;;;;
19/06/2024 10:15;0.00;888.00;4014.15;13.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 10:00;0.00;888.00;4014.15;13.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 09:45;0.00;891.00;4034.87;13.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 09:30;0.00;890.00;4027.96;13.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 09:15;0.00;890.00;4027.96;12.90;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 09:00;0.00;893.00;4048.72;12.90;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 08:45;0.00;892.00;4041.79;12.90;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 08:30;0.20;894.00;4055.65;12.90;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 08:15;0.00;895.00;4062.58;12.80;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 08:00;0.20;897.00;4076.47;12.80;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 07:45;0.60;896.00;4069.52;12.80;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 07:30;0.00;898.00;4083.42;12.80;18.60;;;;;;;;;;;;;;;;;;
19/06/2024 07:15;0.20;897.00;4076.47;12.80;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 07:00;0.80;898.00;4083.42;12.80;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 06:45;1.80;898.00;4083.42;12.80;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 06:30;2.20;898.00;4083.42;12.80;18.70;;;;;;;;;;;;;;;;;;
19/06/2024 06:15;1.60;900.00;4097.33;12.70;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 06:00;0.80;898.00;4083.42;12.70;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 05:45;0.00;899.00;4090.37;12.70;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 05:30;0.00;898.00;4083.42;12.70;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 05:15;0.00;901.00;4104.30;12.60;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 05:00;0.00;903.00;4118.24;12.60;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 04:45;0.00;902.00;4111.27;12.60;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 04:30;0.00;903.00;4118.24;12.60;18.90;;;;;;;;;;;;;;;;;;
19/06/2024 04:15;0.00;902.00;4111.27;12.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 04:00;0.60;902.00;4111.27;12.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 03:45;0.20;904.00;4125.22;12.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 03:30;0.00;905.00;4132.21;12.60;19.30;;;;;;;;;;;;;;;;;;
19/06/2024 03:15;0.20;905.00;4132.21;12.70;20.00;;;;;;;;;;;;;;;;;;
19/06/2024 03:00;0.00;906.00;4139.20;12.70;20.00;;;;;;;;;;;;;;;;;;
19/06/2024 02:45;0.00;908.00;4153.20;12.70;20.00;;;;;;;;;;;;;;;;;;
19/06/2024 02:30;0.00;908.00;4153.20;12.70;20.00;;;;;;;;;;;;;;;;;;
19/06/2024 02:15;0.00;910.00;4167.21;12.70;20.30;;;;;;;;;;;;;;;;;;
19/06/2024 02:00;0.00;909.00;4160.20;12.70;20.30;;;;;;;;;;;;;;;;;;
19/06/2024 01:45;0.00;910.00;4167.21;12.70;20.30;;;;;;;;;;;;;;;;;;
19/06/2024 01:30;0.00;912.00;4181.25;12.70;20.30;;;;;;;;;;;;;;;;;;
19/06/2024 01:15;0.20;910.00;4167.21;12.70;19.60;;;;;;;;;;;;;;;;;;
19/06/2024 01:00;0.20;911.00;4174.23;12.70;19.60;;;;;;;;;;;;;;;;;;
19/06/2024 00:45;0.40;912.00;4181.25;12.70;19.60;;;;;;;;;;;;;;;;;;
19/06/2024 00:30;0.60;912.00;4181.25;12.70;19.60;;;;;;;;;;;;;;;;;;
19/06/2024 00:15;0.40;914.00;4195.31;12.70;19.70;;;;;;;;;;;;;;;;;;
19/06/2024 00:00;0.20;913.00;4188.28;12.70;19.70;;;;;;;;;;;;;;;;;;
18/06/2024 23:45;0.00;915.00;4202.35;12.70;19.70;;;;;;;;;;;;;;;;;;
18/06/2024 23:30;0.00;915.00;4202.35;12.70;19.70;;;;;;;;;;;;;;;;;;
18/06/2024 23:15;0.00;917.00;4216.44;12.70;19.60;;;;;;;;;;;;;;;;;;
18/06/2024 23:00;0.00;917.00;4216.44;12.70;19.60;;;;;;;;;;;;;;;;;;
18/06/2024 22:45;0.00;917.00;4216.44;12.70;19.60;;;;;;;;;;;;;;;;;;
18/06/2024 22:30;0.00;919.00;4230.55;12.70;19.60;;;;;;;;;;;;;;;;;;
18/06/2024 22:15;0.00;919.00;4230.55;12.90;19.80;;;;;;;;;;;;;;;;;;
18/06/2024 22:00;0.00;921.00;4244.68;12.90;19.80;;;;;;;;;;;;;;;;;;
18/06/2024 21:45;0.20;924.00;4265.91;12.90;19.80;;;;;;;;;;;;;;;;;;
18/06/2024 21:30;0.40;924.00;4265.91;12.90;19.80;;;;;;;;;;;;;;;;;;
18/06/2024 21:15;0.00;926.00;4280.10;12.90;20.20;;;;;;;;;;;;;;;;;;
18/06/2024 21:00;0.00;929.00;4301.41;12.90;20.20;;;;;;;;;;;;;;;;;;
18/06/2024 20:45;0.00;931.00;4315.64;12.90;20.20;;;;;;;;;;;;;;;;;;
18/06/2024 20:30;0.00;933.00;4329.89;12.90;20.20;;;;;;;;;;;;;;;;;;
18/06/2024 20:15;0.00;937.00;4358.46;13.00;20.40;;;;;;;;;;;;;;;;;;
18/06/2024 20:00;0.00;937.00;4358.46;13.00;20.40;;;;;;;;;;;;;;;;;;
18/06/2024 19:45;0.00;940.00;4379.94;13.00;20.40;;;;;;;;;;;;;;;;;;
18/06/2024 19:30;0.00;944.00;4408.65;13.00;20.40;;;;;;;;;;;;;;;;;;
18/06/2024 19:15;0.00;947.00;4430.24;13.10;20.90;;;;;;;;;;;;;;;;;;
18/06/2024 19:00;0.00;949.00;4444.66;13.10;20.90;;;;;;;;;;;;;;;;;;
18/06/2024 18:45;0.00;954.00;4480.79;13.10;20.90;;;;;;;;;;;;;;;;;;
18/06/2024 18:30;0.00;954.00;4480.79;13.10;20.90;;;;;;;;;;;;;;;;;;
18/06/2024 18:15;0.00;956.00;4495.27;13.40;21.80;;;;;;;;;;;;;;;;;;
18/06/2024 18:00;0.00;961.00;4531.58;13.40;21.80;;;;;;;;;;;;;;;;;;
18/06/2024 17:45;0.00;963.00;4546.14;13.40;21.80;;;;;;;;;;;;;;;;;;
18/06/2024 17:30;0.00;967.00;4575.32;13.40;21.80;;;;;;;;;;;;;;;;;;
18/06/2024 17:15;0.00;970.00;4597.26;14.00;22.80;;;;;;;;;;;;;;;;;;
18/06/2024 17:00;0.00;974.00;4626.58;14.00;22.80;;;;;;;;;;;;;;;;;;
18/06/2024 16:45;0.00;977.00;4648.62;14.00;22.80;;;;;;;;;;;;;;;;;;
18/06/2024 16:30;0.00;981.00;4678.08;14.00;22.80;;;;;;;;;;;;;;;;;;
18/06/2024 16:15;0.00;985.00;4707.63;14.00;21.90;;;;;;;;;;;;;;;;;;
18/06/2024 16:00;0.00;988.00;4729.84;14.00;21.90;;;;;;;;;;;;;;;;;;
18/06/2024 15:45;0.00;992.00;4759.52;14.00;21.90;;;;;;;;;;;;;;;;;;
18/06/2024 15:30;0.00;996.00;4789.29;14.00;21.90;;;;;;;;;;;;;;;;;;
