Data;Hora;Chuva (mm);Nível (cm);Vazão (m3/s);
02/05/2024;01:15:00;1.6             ;2,331             ;11,664;
02/05/2024;01:30:00;3             ;2,341             ;11,732.6;
02/05/2024;01:45:00;14.6             ;2,344             ;11,753.2;
02/05/2024;02:00:00;1.4             ;2,346             ;11,766.9;
02/05/2024;02:15:00;0.2             ;2,351             ;11,801.3;
02/05/2024;02:30:00;0.2             ;2,357             ;11,842.6;
02/05/2024;02:45:00;14.6             ;2,362             ;11,877.1;
02/05/2024;03:00:00;10.8             ;2,368             ;11,918.4;
02/05/2024;03:15:00;6.8             ;2,379             ;11,994.4;
02/05/2024;03:30:00;5             ;2,387             ;12,049.7;
02/05/2024;03:45:00;2.2             ;2,401             ;12,146.6;
02/05/2024;04:00:00;11.6             ;2,416             ;12,250.8;
02/05/2024;04:15:00;18.8             ;2,426             ;12,320.3;
02/05/2024;04:30:00;8.2             ;2,443             ;12,438.8;
02/05/2024;04:45:00;2.6             ;2,463             ;12,578.6;
02/05/2024;05:00:00;3.8             ;2,478             ;12,683.8;
02/05/2024;05:15:00;1.8             ;2,488             ;12,754;
02/05/2024;05:30:00;0.4             ;2,505             ;12,873.7;
02/05/2024;05:45:00;0.6             ;2,516             ;12,951.2;
02/05/2024;06:00:00;1             ;2,527             ;13,028.9;
02/05/2024;06:15:00;0.6             ;2,534             ;13,078.5;
02/05/2024;06:30:00;1             ;2,541             ;13,128;
02/05/2024;06:45:00;1             ;2,548             ;13,177.7;
02/05/2024;07:00:00;7.4             ;2,550             ;13,191.9;
02/05/2024;07:15:00;1             ;2,550             ;13,191.9;
02/05/2024;07:30:00;0.6             ;2,557             ;13,241.5;
02/05/2024;07:45:00;0.6             ;2,553             ;13,213.1;
02/05/2024;08:00:00;0.4             ;2,551             ;13,198.9;
02/05/2024;08:15:00;0.2             ;2,549             ;13,184.8;
02/05/2024;08:30:00;0.2             ;2,546             ;13,163.5;
02/05/2024;08:45:00;0.6             ;2,539             ;13,113.9;
02/05/2024;09:00:00;0.6             ;2,542             ;13,135.1;
02/05/2024;09:15:00;0.6             ;2,539             ;13,113.9;
02/05/2024;09:30:00;1.2             ;2,535             ;13,085.5;
02/05/2024;09:45:00;1.8             ;2,534             ;13,078.5;
02/05/2024;10:00:00;1.6             ;2,529             ;13,043.1;
02/05/2024;10:15:00;1             ;2,525             ;13,014.8;
02/05/2024;10:30:00;1.2             ;2,518             ;12,965.4;
02/05/2024;10:45:00;1             ;2,513             ;12,930.1;
02/05/2024;11:00:00;0.6             ;2,512             ;12,923;
02/05/2024;11:15:00;1.2             ;2,513             ;12,930.1;
02/05/2024;11:30:00;1.4             ;2,502             ;12,852.5;
02/05/2024;11:45:00;1             ;2,496             ;12,810.3;
02/05/2024;12:00:00;1             ;2,491             ;12,775.1;
02/05/2024;12:15:00;1.2             ;2,482             ;12,711.9;
02/05/2024;12:30:00;0.8             ;2,482             ;12,711.9;
02/05/2024;12:45:00;1             ;2,473             ;12,648.7;
02/05/2024;13:00:00;0.6             ;2,470             ;12,627.7;
02/05/2024;13:15:00;0.8             ;2,451             ;12,494.7;
02/05/2024;13:30:00;1.4             ;2,455             ;12,522.7;
02/05/2024;13:45:00;1.6             ;2,450             ;12,487.7;
02/05/2024;14:00:00;0.6             ;2,443             ;12,438.8;
02/05/2024;14:15:00;0.4             ;2,437             ;12,397;
02/05/2024;14:30:00;0.6             ;2,432             ;12,362.1;
02/05/2024;14:45:00;0.8             ;2,425             ;12,313.4;
02/05/2024;15:00:00;0.6             ;2,426             ;12,320.3;
02/05/2024;15:15:00;0.8             ;2,410             ;12,209.1;
02/05/2024;15:30:00;1             ;2,417             ;12,257.7;
02/05/2024;15:45:00;1.4             ;2,403             ;12,160.5;
02/05/2024;16:00:00;1             ;2,398             ;12,125.8;
02/05/2024;16:15:00;1.6             ;2,398             ;12,125.8;
02/05/2024;16:30:00;1             ;2,390             ;12,070.4;
02/05/2024;16:45:00;0.6             ;2,389             ;12,063.5;
02/05/2024;17:00:00;             ;2,387             ;12,049.7;
02/05/2024;17:15:00;             ;2,395             ;12,105;
02/05/2024;17:30:00;             ;2,398             ;12,125.8;
02/05/2024;17:45:00;             ;2,400             ;12,139.7;
02/05/2024;18:00:00;0.4             ;2,400             ;12,139.7;
02/05/2024;18:15:00;0.4             ;2,399             ;12,132.8;
02/05/2024;18:30:00;0.2             ;2,402             ;12,153.6;
02/05/2024;18:45:00;0.2             ;2,402             ;12,153.6;
02/05/2024;19:00:00;10.6             ;2,402             ;12,153.6;
02/05/2024;19:15:00;2.8             ;2,400             ;12,139.7;
02/05/2024;19:30:00;1             ;2,396             ;12,112;
02/05/2024;19:45:00;1             ;2,393             ;12,091.2;
02/05/2024;20:00:00;0.6             ;2,388             ;12,056.6;
02/05/2024;20:15:00;0.2             ;2,382             ;12,015.1;
02/05/2024;20:30:00;0             ;2,377             ;11,980.5;
02/05/2024;20:45:00;0.6             ;2,374             ;11,959.8;
02/05/2024;21:00:00;0.2             ;2,370             ;11,932.2;
02/05/2024;21:15:00;0.2             ;2,358             ;11,849.5;
02/05/2024;21:30:00;0.2             ;2,357             ;11,842.6;
02/05/2024;21:45:00;0.2             ;2,356             ;11,835.7;
02/05/2024;22:00:00;0             ;2,349             ;11,787.6;
02/05/2024;22:15:00;0.4             ;2,341             ;11,732.6;
02/05/2024;22:30:00;0.2             ;2,335             ;11,691.4;
02/05/2024;22:45:00;0.2             ;2,325             ;11,622.9;
02/05/2024;23:00:00;0.4             ;2,324             ;11,616;
02/05/2024;23:15:00;0.2             ;2,316             ;11,561.3;
02/05/2024;23:30:00;0.4             ;2,310             ;11,520.3;
02/05/2024;23:45:00;0.2             ;2,301             ;11,458.8;
03/05/2024;00:00:00;0             ;2,292             ;11,397.5;
03/05/2024;00:15:00;0.2             ;2,289             ;11,377;
03/05/2024;00:30:00;0             ;2,284             ;11,343;
03/05/2024;00:45:00;0.2             ;2,275             ;11,281.8;
03/05/2024;01:00:00;0             ;2,272             ;11,261.4;
03/05/2024;01:15:00;0             ;2,266             ;11,220.7;
03/05/2024;01:30:00;0             ;2,258             ;11,166.5;
03/05/2024;01:45:00;0             ;2,250             ;11,112.4;
03/05/2024;02:00:00;0             ;2,248             ;11,098.8;
03/05/2024;02:15:00;0             ;2,238             ;11,031.3;
03/05/2024;02:30:00;0             ;2,234             ;11,004.3;
03/05/2024;02:45:00;0.2             ;2,224             ;10,936.9;
03/05/2024;03:00:00;0             ;2,218             ;10,896.5;
03/05/2024;03:15:00;0             ;2,212             ;10,856.2;
03/05/2024;03:30:00;0.2             ;2,202             ;10,789;
03/05/2024;03:45:00;0             ;2,198             ;10,762.2;
03/05/2024;04:00:00;0.4             ;2,189             ;10,701.9;
03/05/2024;04:15:00;0             ;2,182             ;10,655.1;
03/05/2024;04:30:00;0             ;2,175             ;10,608.3;
03/05/2024;04:45:00;0.2             ;2,165             ;10,541.6;
03/05/2024;05:00:00;0             ;2,157             ;10,488.3;
03/05/2024;05:15:00;0             ;2,149             ;10,435.1;
03/05/2024;05:30:00;0             ;2,140             ;10,375.3;
03/05/2024;05:45:00;0.2             ;2,141             ;10,382;
03/05/2024;06:00:00;0.2             ;2,125             ;10,275.9;
03/05/2024;06:15:00;0             ;2,117             ;10,223;
03/05/2024;06:30:00;0             ;2,110             ;10,176.8;
03/05/2024;06:45:00;0             ;2,101             ;10,117.4;
03/05/2024;07:00:00;0             ;2,099             ;10,104.2;
03/05/2024;07:15:00;0             ;2,083             ;9,999;
03/05/2024;07:30:00;0             ;2,076             ;9,953.1;
03/05/2024;07:45:00;0             ;2,066             ;9,887.5;
03/05/2024;08:00:00;0             ;2,060             ;9,848.3;
03/05/2024;08:15:00;0             ;2,047             ;9,763.3;
03/05/2024;08:30:00;0.2             ;2,046             ;9,756.8;
03/05/2024;08:45:00;0.2             ;2,035             ;9,685.1;
03/05/2024;09:00:00;0             ;2,026             ;9,626.6;
03/05/2024;09:15:00;0.2             ;2,013             ;9,542.2;
03/05/2024;09:30:00;0             ;2,007             ;9,503.3;
03/05/2024;09:45:00;0             ;1,995             ;9,425.7;
03/05/2024;10:00:00;0             ;1,990             ;9,393.4;
03/05/2024;10:15:00;0             ;1,980             ;9,328.9;
03/05/2024;10:30:00;0             ;1,964             ;9,226;
03/05/2024;10:45:00;0             ;1,958             ;9,187.5;
